consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,trialOffset,keyPressTime,keyPressed,inputText,error,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,trials_practice.order,trial_id,word,test_language,soundfile,date,expName,psychopyVersion,OS,frameRate,participant,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.529999971,f,JIRAF,TRUE,,,,,,,142,girafa,Catalan,Sounds/cat_girafa.mp3,2020-06-19_09h35.18.844,TranslationElicitation_spa,3.2.4,Win32,60,55kvweighibv82hihv9322hhfh,1,0,80,37,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.674999952,a,JIRAFA,TRUE,,,,,,,142,girafa,Catalan,Sounds/cat_girafa.mp3,2020-06-19_09h35.18.844,TranslationElicitation_spa,3.2.4,Win32,60,55kvweighibv82hihv9322hhfh,1,0,80,37,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.157999992,7.157999992,return,,TRUE,,,,,,,142,girafa,Catalan,Sounds/cat_girafa.mp3,2020-06-19_09h35.18.844,TranslationElicitation_spa,3.2.4,Win32,60,55kvweighibv82hihv9322hhfh,1,0,80,37,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,girafa,Catalan,Sounds/cat_girafa.mp3,2020-06-19_09h35.18.844,TranslationElicitation_spa,3.2.4,Win32,60,55kvweighibv82hihv9322hhfh,1,0,80,37,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.08399987,r,R,FALSE,,,,,,,176,samarreta,Catalan,Sounds/cat_samarreta.mp3,2020-06-19_09h35.18.844,TranslationElicitation_spa,3.2.4,Win32,60,55kvweighibv82hihv9322hhfh,1,0,80,68,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.80999994,a,RA,FALSE,,,,,,,176,samarreta,Catalan,Sounds/cat_samarreta.mp3,2020-06-19_09h35.18.844,TranslationElicitation_spa,3.2.4,Win32,60,55kvweighibv82hihv9322hhfh,1,0,80,68,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.15400004,b,RAB,FALSE,,,,,,,176,samarreta,Catalan,Sounds/cat_samarreta.mp3,2020-06-19_09h35.18.844,TranslationElicitation_spa,3.2.4,Win32,60,55kvweighibv82hihv9322hhfh,1,0,80,68,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.31099987,i,RABI,FALSE,,,,,,,176,samarreta,Catalan,Sounds/cat_samarreta.mp3,2020-06-19_09h35.18.844,TranslationElicitation_spa,3.2.4,Win32,60,55kvweighibv82hihv9322hhfh,1,0,80,68,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.39400005,e,RABIE,FALSE,,,,,,,176,samarreta,Catalan,Sounds/cat_samarreta.mp3,2020-06-19_09h35.18.844,TranslationElicitation_spa,3.2.4,Win32,60,55kvweighibv82hihv9322hhfh,1,0,80,68,1,79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.63999987,t,RABIET,FALSE,,,,,,,176,samarreta,Catalan,Sounds/cat_samarreta.mp3,2020-06-19_09h35.18.844,TranslationElicitation_spa,3.2.4,Win32,60,55kvweighibv82hihv9322hhfh,1,0,80,68,1,79
