frame	time(s)	intensity	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)
332	0.332	0.00494	1488.142	1019.364	2862.901	807.575	--undefined--	--undefined--
333	0.333	0.00291	1934.014	984.583	2790.334	1209.061	--undefined--	--undefined--
334	0.334	0.00291	1879.409	1441.067	3462.389	1915.750	--undefined--	--undefined--
335	0.335	0.00098	2233.736	649.645	--undefined--	--undefined--	--undefined--	--undefined--
336	0.336	0.00089	1938.785	567.800	3590.600	544.655	--undefined--	--undefined--
337	0.337	0.00072	1498.679	507.615	2232.304	629.613	4398.544	1624.898
338	0.338	0.00014	1846.259	457.967	2940.240	717.336	4890.775	1465.759
339	0.339	0.00010	1708.851	1027.685	2760.446	886.527	--undefined--	--undefined--
340	0.340	0.00007	437.202	494.359	3143.897	2894.979	5106.776	1433.728
341	0.341	0.00007	2225.975	783.996	2460.884	2795.032	--undefined--	--undefined--
342	0.342	0.00006	565.190	803.365	1649.937	804.061	5061.389	1040.676
343	0.343	0.00006	1106.469	1250.740	2443.520	882.407	--undefined--	--undefined--
344	0.344	0.00004	472.649	680.558	1342.296	537.582	4106.716	970.808
345	0.345	0.00003	387.589	1535.523	2329.658	1829.235	3763.222	1258.371
