group,trial_id,test_language,word,freq,pthn,consecutive_longest,same_onset,close_substitutions,similarity_ort,similarity_phon,correct,n,proportion
SPA-CAT,118,Catalan,bou,3.28400186786771,0,1,Same,0,0.571428571428571,0.285714285714285,1,30,0.0333333333333333
SPA-CAT,119,Catalan,caixa,5.05096679772225,4,2,Same,0,0.666666666666666,0.5,9,30,0.3
SPA-CAT,120,Catalan,cama,4.71192864586408,1,1,Different,0,0.2,0.2,0,30,0
SPA-CAT,121,Catalan,camisa,4.66533704224559,0,4,Same,0.166666666666666,1,0.833333333333333,29,30,0.966666666666667
SPA-CAT,122,Catalan,casa,6.13934164501539,0,2,Same,0.25,1,0.5,30,30,1
SPA-CAT,123,Catalan,cavall,4.79353545862257,1,2,Same,0,0.769230769230769,0.545454545454545,30,30,1
SPA-CAT,124,Catalan,cirera,3.68409996112854,0,2,Different,0.333333333333333,0.666666666666666,0.333333333333333,0,30,0
SPA-CAT,125,Catalan,colom,3.78744630480987,0,3,Different,0,0.545454545454545,0.545454545454545,0,29,0
SPA-CAT,126,Catalan,corona,4.11968798866481,0,3,Same,0.166666666666666,1,0.666666666666666,26,30,0.866666666666667
SPA-CAT,127,Catalan,cotxe,5.06314188184197,1,1,Same,0.25,0.6,0.5,28,29,0.96551724137931
SPA-CAT,128,Catalan,cuc,4.00415794511282,0,1,Different,0.222222222222222,0.222222222222222,0.222222222222222,1,28,0.0357142857142857
SPA-CAT,129,Catalan,dit,4.66080194119421,5,1,Same,0.285714285714285,0.285714285714285,0.285714285714285,2,29,0.0689655172413793
SPA-CAT,130,Catalan,entrepa,3.67094128073578,1,1,Different,0,0,0.133333333333333,1,29,0.0344827586206897
SPA-CAT,131,Catalan,esponja,3.84777618698239,0,2,Different,0.142857142857142,1,0.285714285714285,9,30,0.3
SPA-CAT,132,Catalan,estrella,4.78574044070746,0,7,Same,0,1,1,30,30,1
SPA-CAT,133,Catalan,estruc,2.9249766990652,0,4,Different,0.142857142857142,0.714285714285714,0.571428571428571,13,29,0.448275862068966
SPA-CAT,134,Catalan,flor,4.22101236217019,1,2,Same,0.285714285714285,1,0.571428571428571,30,30,1
SPA-CAT,135,Catalan,formiga,3.42229430089356,1,3,Different,0,0.857142857142857,0.461538461538461,30,30,1
SPA-CAT,136,Catalan,forquilla,3.77710769085413,0,1,Different,0,0.25,0.142857142857142,1,30,0.0333333333333333
SPA-CAT,137,Catalan,fulla,4.12127087494741,8,0,Different,0,0.222222222222222,0,8,30,0.266666666666667
SPA-CAT,138,Catalan,galeta,4.05207803048417,1,1,Same,0.166666666666666,0.923076923076923,0.333333333333333,10,29,0.344827586206897
SPA-CAT,139,Catalan,galleda,3.90853863217196,7,0,Different,0.2,0,0,0,30,0
SPA-CAT,140,Catalan,gat,4.73231654505134,2,3,Same,0,0.857142857142857,0.857142857142857,29,30,0.966666666666667
SPA-CAT,141,Catalan,gerd,,,0,Different,0.2,0.4,0,1,29,0.0344827586206897
SPA-CAT,142,Catalan,girafa,3.29473069048433,0,4,Different,0,0.833333333333333,0.666666666666666,30,30,1
SPA-CAT,143,Catalan,globus,4.06575145674359,1,2,Same,0.363636363636363,0.727272727272727,0.545454545454545,29,30,0.966666666666667
SPA-CAT,144,Catalan,gorra,3.94200805302231,2,3,Same,0,1,0.75,30,30,1
SPA-CAT,145,Catalan,got,4.41593607978062,8,0,Different,0,0.285714285714285,0,3,30,0.1
