participant,group,n,n_valid,n_correct,prop_correct,test_language,age,l2,l2oral,l2written,sex,impairment,valid_participant
5ede17651b8bce028a0853b3,SPA-CAT,85,85,42,0.494117647058824,Catalan,,None,2,4,Female,FALSE,
5ede18e41b8bce022ee5dd40,SPA-CAT,85,82,48,0.585365853658537,Catalan,19,French,4,3,Male,FALSE,TRUE
5ede18e41b8bce022ee5dd40,SPA-CAT,85,82,48,0.585365853658537,Catalan,,French,4,3,Male,FALSE,
5ede198e9586fe02aecca093,SPA-CAT,85,83,38,0.457831325301205,Catalan,20,French,4,4,Female,FALSE,TRUE
5ede198e9586fe02aecca093,SPA-CAT,85,83,38,0.457831325301205,Catalan,,French,4,4,Female,FALSE,
5ede1a11281b7602eb5cf5ea,SPA-CAT,85,83,38,0.457831325301205,Catalan,22,None,4,4,Female,FALSE,TRUE
5ede1a11281b7602eb5cf5ea,SPA-CAT,85,83,38,0.457831325301205,Catalan,,None,4,4,Female,FALSE,
5ede1e445c4bda03a80555e6,SPA-CAT,85,80,37,0.4625,Catalan,20,French,3,4,Female,FALSE,TRUE
5ede1e445c4bda03a80555e6,SPA-CAT,85,80,37,0.4625,Catalan,,French,3,4,Female,FALSE,
5ede212260122c03b3a4c676,SPA-CAT,85,85,42,0.494117647058824,Catalan,25,None,3,3,Female,FALSE,TRUE
5ede212260122c03b3a4c676,SPA-CAT,85,85,42,0.494117647058824,Catalan,,None,3,3,Female,FALSE,
5ede2161e9851d03c61433b5,SPA-CAT,85,81,49,0.604938271604938,Catalan,19,None,4,4,Female,FALSE,TRUE
5ede2161e9851d03c61433b5,SPA-CAT,85,81,49,0.604938271604938,Catalan,,None,4,4,Female,FALSE,
5ede22045e3396035124cb6b,SPA-CAT,85,85,50,0.588235294117647,Catalan,19,French,4,4,Male,FALSE,TRUE
5ede22045e3396035124cb6b,SPA-CAT,85,85,50,0.588235294117647,Catalan,,French,4,4,Male,FALSE,
5ede22ac2ec6380417664519,SPA-CAT,85,83,36,0.433734939759036,Catalan,20,None,3,3,Male,FALSE,TRUE
5ede22ac2ec6380417664519,SPA-CAT,85,83,36,0.433734939759036,Catalan,,None,3,3,Male,FALSE,
5ede234d69a8800409af2756,SPA-CAT,85,82,42,0.51219512195122,Catalan,24,None,3,4,Female,FALSE,TRUE
5ede234d69a8800409af2756,SPA-CAT,85,82,42,0.51219512195122,Catalan,,None,3,4,Female,FALSE,
5ee0c7ff8480ea0636fe856e,ENG-SPA,103,100,25,0.25,Spanish,20,None,,,Female,FALSE,TRUE
5ee0c7ff8480ea0636fe856e,ENG-SPA,103,100,25,0.25,Spanish,,None,,,Female,FALSE,
5ee3dc4bdfe64a0b4411b8f4,SPA-CAT,85,85,46,0.541176470588235,Catalan,22,German,4,4,Female,FALSE,TRUE
5ee3dc4bdfe64a0b4411b8f4,SPA-CAT,85,85,46,0.541176470588235,Catalan,,German,4,4,Female,FALSE,
5ee3dcd47bfde60b782a3f3d,SPA-CAT,85,81,48,0.592592592592593,Catalan,20,None,3,3,Female,FALSE,TRUE
5ee3dcd47bfde60b782a3f3d,SPA-CAT,85,81,48,0.592592592592593,Catalan,,None,3,3,Female,FALSE,
5ee3dd701da2350bd1e67f35,SPA-CAT,85,85,45,0.529411764705882,Catalan,22,None,,,Female,FALSE,TRUE
5ee3dd701da2350bd1e67f35,SPA-CAT,85,85,45,0.529411764705882,Catalan,,None,,,Female,FALSE,
5ee3ddcd3f9ded0c586a8edf,SPA-CAT,85,82,30,0.365853658536585,Catalan,24,Italian,3,4,Female,FALSE,TRUE
5ee3ddcd3f9ded0c586a8edf,SPA-CAT,85,82,30,0.365853658536585,Catalan,,Italian,3,4,Female,FALSE,
5ee3de894809040c1c9a619a,SPA-CAT,85,78,39,0.5,Catalan,25,None,3,3,Female,FALSE,TRUE
5ee3de894809040c1c9a619a,SPA-CAT,85,78,39,0.5,Catalan,,None,3,3,Female,FALSE,
5ee3df1db2f7190ba57f464a,SPA-CAT,85,85,40,0.470588235294118,Catalan,18,None,2,4,Female,FALSE,TRUE
5ee3df1db2f7190ba57f464a,SPA-CAT,85,85,40,0.470588235294118,Catalan,,None,2,4,Female,FALSE,
5ee3df5052f1050b1ae6fe50,SPA-CAT,85,83,38,0.457831325301205,Catalan,19,French,3,4,Female,FALSE,TRUE
5ee3df5052f1050b1ae6fe50,SPA-CAT,85,83,38,0.457831325301205,Catalan,,French,3,4,Female,FALSE,
5ee3dfc37e2f6d0b805831bc,SPA-CAT,85,85,43,0.505882352941176,Catalan,22,None,3,3,Male,FALSE,TRUE
5ee3dfc37e2f6d0b805831bc,SPA-CAT,85,85,43,0.505882352941176,Catalan,,None,3,3,Male,FALSE,
5ee3e04903b8560b39e58d9e,SPA-CAT,85,80,32,0.4,Catalan,19,None,,,Female,FALSE,TRUE
5ee3e04903b8560b39e58d9e,SPA-CAT,85,80,32,0.4,Catalan,,None,,,Female,FALSE,
5ee3e0ad6b4a780c4b3b39cd,SPA-CAT,85,85,45,0.529411764705882,Catalan,21,None,4,4,Female,FALSE,TRUE
5ee3e0ad6b4a780c4b3b39cd,SPA-CAT,85,85,45,0.529411764705882,Catalan,,None,4,4,Female,FALSE,
5ee7665a74f20302efda997f,ENG-SPA,103,96,14,0.145833333333333,Spanish,24,None,,,Female,FALSE,TRUE
5ee7665a74f20302efda997f,ENG-SPA,103,96,14,0.145833333333333,Spanish,,None,,,Female,FALSE,
