group,trial_id,test_language,word,freq,pthn,onset,stress_overlap,vowel_ratio,consonant_ratio,correct,n,proportion
ENG-SPA,29,Spanish,coche,5.68400107702596,2,Same,Overlap,0.17,0.33,0,28,0
ENG-SPA,30,Spanish,corona,4.13640344813399,4,Same,No overlap,0.03,0.55,1,28,0.0357142857142857
ENG-SPA,31,Spanish,cubo,4.00086772153123,1,Different,No overlap,0.11,0.36,2,26,0.0769230769230769
ENG-SPA,32,Spanish,cuchara,3.88138465677057,3,Different,No overlap,0.2,0.28,0,28,0
ENG-SPA,33,Spanish,dedo,4.5643109099606,0,Different,No overlap,0.19,0.27,0,28,0
ENG-SPA,34,Spanish,ensalada,4.23095955574857,0,Different,No overlap,0.21,0.46,9,28,0.321428571428571
ENG-SPA,35,Spanish,esponja,3.82672252016899,0,Different,Overlap,0.11,0.59,2,28,0.0714285714285714
ENG-SPA,36,Spanish,estrella,4.91035755727288,3,Different,Overlap,0,0.4,0,27,0
ENG-SPA,37,Spanish,flor,4.35717225772303,1,Same,Overlap,0.04,0.44,4,28,0.142857142857143
ENG-SPA,38,Spanish,frambuesa,3.27415784926368,0,Different,No overlap,0.08,0.33,1,27,0.037037037037037
ENG-SPA,39,Spanish,gafas,4.52009032811284,0,Same,Overlap,0,0.36,3,27,0.111111111111111
ENG-SPA,40,Spanish,galleta,,,Different,No overlap,0.08,0.38,1,28,0.0357142857142857
ENG-SPA,41,Spanish,gallina,4.05576046468774,16,Different,No overlap,0.07,0.34,0,27,0
ENG-SPA,42,Spanish,gato,4.82170999729838,9,Different,No overlap,0.24,0.55,4,27,0.148148148148148
ENG-SPA,43,Spanish,globo,3.93801909747621,0,Different,No overlap,0.17,0.44,1,27,0.037037037037037
ENG-SPA,44,Spanish,gorrion,,,Different,No overlap,0.14,0.27,0,28,0
ENG-SPA,45,Spanish,gorro,4.80739971275949,14,Different,No overlap,0.1,0.38,1,27,0.037037037037037
ENG-SPA,46,Spanish,grifo,4.16879202031418,8,Different,No overlap,0,0.18,1,28,0.0357142857142857
ENG-SPA,47,Spanish,guitarra,4.19284611518884,0,Same,Overlap,0.33,0.4,27,28,0.964285714285714
ENG-SPA,48,Spanish,gusano,4.00518051250378,8,Different,No overlap,0.07,0.3,1,28,0.0357142857142857
ENG-SPA,49,Spanish,hormiga,3.72835378202123,9,Different,No overlap,0.07,0.3,0,26,0
ENG-SPA,50,Spanish,jirafa,3.17318626841227,0,Different,No overlap,0.3,0.5,5,26,0.192307692307692
ENG-SPA,51,Spanish,ladrillo,4.00774777800074,8,Different,No overlap,0.18,0.38,0,27,0
ENG-SPA,52,Spanish,lapiz,3.99387691494121,0,Different,No overlap,0,0.2,0,27,0
ENG-SPA,53,Spanish,leche,4.62869538271402,0,Different,Overlap,0,0.25,9,28,0.321428571428571
ENG-SPA,54,Spanish,lengua,4.49359744900053,3,Different,Overlap,0.11,0.33,18,28,0.642857142857143
ENG-SPA,55,Spanish,leon,4.18610837981321,1,Same,Overlap,0.22,0.44,13,28,0.464285714285714
ENG-SPA,56,Spanish,libro,5.24792419076631,3,Different,No overlap,0.13,0.22,8,27,0.296296296296296
ENG-SPA,57,Spanish,loro,3.51454775266029,2,Different,No overlap,0.22,0.31,0,27,0
ENG-SPA,58,Spanish,luna,4.6986224297021,6,Different,Overlap,0.29,0.4,25,28,0.892857142857143
ENG-SPA,59,Spanish,mano,5.44661482366427,2,Different,No overlap,0.21,0.3,1,28,0.0357142857142857
ENG-SPA,60,Spanish,manzana,4.37419825792908,0,Different,No overlap,0,0.08,2,28,0.0714285714285714
ENG-SPA,61,Spanish,mariposa,3.74115159885179,0,Different,No overlap,0.25,0.12,3,28,0.107142857142857
ENG-SPA,62,Spanish,martillo,4.09586645347854,0,Different,No overlap,0.09,0.18,0,28,0
ENG-SPA,63,Spanish,mesa,5.02378727978985,1,Different,No overlap,0.22,0.15,3,27,0.111111111111111
ENG-SPA,64,Spanish,moneda,3.98900461569854,6,Different,Overlap,0.17,0.29,20,28,0.714285714285714
ENG-SPA,65,Spanish,mono,4.52517442783527,1,Same,Overlap,0.15,0.4,1,28,0.0357142857142857
ENG-SPA,66,Spanish,moto,2.8750612633917,0,Same,Overlap,0.21,0.31,2,28,0.0714285714285714
ENG-SPA,67,Spanish,muneca,4.39375064034808,5,Different,Overlap,0.11,0.25,0,27,0
ENG-SPA,68,Spanish,naranja,4.34849957028384,0,Different,No overlap,0,0.17,12,28,0.428571428571429
ENG-SPA,69,Spanish,nariz,4.84354421194564,6,Same,No overlap,0.11,0.22,0,27,0
ENG-SPA,70,Spanish,ola,4.32735893438633,8,Different,No overlap,0.14,0,24,28,0.857142857142857
ENG-SPA,71,Spanish,ombligo,,,Different,No overlap,0.22,0.33,0,28,0
ENG-SPA,72,Spanish,osito,,,Different,No overlap,0.25,0.12,0,28,0
ENG-SPA,73,Spanish,oveja,4.12807601266872,8,Different,No overlap,0,0,0,27,0
ENG-SPA,74,Spanish,pajaro,4.65753388755799,7,Different,No overlap,0.15,0.34,0,28,0
ENG-SPA,75,Spanish,pan,4.45224657452044,5,Different,No overlap,0,0.27,7,28,0.25
ENG-SPA,76,Spanish,panal,2.89209460269048,8,Different,No overlap,0.11,0.22,0,28,0
ENG-SPA,77,Spanish,pantalon,3.71264970162721,0,Different,No overlap,0.2,0.32,21,28,0.75
ENG-SPA,78,Spanish,pastel,4.65379118738781,8,Different,Overlap,0.2,0.12,1,27,0.037037037037037
ENG-SPA,79,Spanish,patata,4.05269394192497,0,Same,Overlap,0.24,0.43,24,28,0.857142857142857
ENG-SPA,80,Spanish,pato,4.39375064034808,11,Different,No overlap,0.14,0.44,1,28,0.0357142857142857
ENG-SPA,81,Spanish,pelota,5.02102382203159,5,Different,Overlap,0.07,0.43,2,27,0.0740740740740741
ENG-SPA,82,Spanish,perro,5.28519712281097,1,Different,No overlap,0.05,0.36,4,28,0.142857142857143
ENG-SPA,83,Spanish,pez,4.92163446105371,1,Different,No overlap,0.28,0.56,0,28,0
ENG-SPA,84,Spanish,pie,4.81237851115419,5,Different,No overlap,0,0.27,2,28,0.0714285714285714
ENG-SPA,85,Spanish,pierna,4.7521253072979,2,Different,No overlap,0,0.09,0,28,0
ENG-SPA,86,Spanish,pingüino,3.45939248775923,0,Same,Overlap,0.22,0.67,21,28,0.75
ENG-SPA,87,Spanish,platano,4.03059972196595,0,Different,No overlap,0.08,0.3,2,27,0.0740740740740741
ENG-SPA,88,Spanish,plato,4.40908736944784,7,Same,Overlap,0.13,0.6,11,27,0.407407407407407
ENG-SPA,89,Spanish,pluma,3.82151352840477,6,Different,No overlap,0,0.18,2,28,0.0714285714285714
ENG-SPA,90,Spanish,pollo,4.79049627696711,0,Different,No overlap,0.15,0.28,6,27,0.222222222222222
ENG-SPA,91,Spanish,puerta,5.4654720808735,5,Different,No overlap,0,0.18,4,28,0.142857142857143
ENG-SPA,92,Spanish,sandwich,4.34084054981233,0,Same,Overlap,0.28,0.59,26,28,0.928571428571428
ENG-SPA,93,Spanish,sol,4.84304581053457,13,Same,Overlap,0.22,0.53,16,28,0.571428571428571
ENG-SPA,94,Spanish,tambor,3.92788341033071,4,Different,No overlap,0,0.39,17,27,0.62962962962963
ENG-SPA,95,Spanish,tenedor,3.94546858513182,12,Different,No overlap,0.07,0.28,0,28,0
ENG-SPA,96,Spanish,tigre,4.2678754193189,0,Same,Overlap,0.2,0.37,14,27,0.518518518518519
ENG-SPA,97,Spanish,tijeras,3.82542611776782,1,Different,No overlap,0.31,0.41,1,28,0.0357142857142857
ENG-SPA,98,Spanish,tobogan,4.25090769970086,2,Different,Overlap,0.17,0.14,5,27,0.185185185185185
ENG-SPA,99,Spanish,tomate,3.77085201164214,0,Same,Overlap,0.33,0.46,27,28,0.964285714285714
ENG-SPA,100,Spanish,toro,4.43949059038968,6,Different,No overlap,0.24,0.48,8,27,0.296296296296296
