participant,group,trial_id,test_language,country,word,input_text,typing_offset,consonant_ratio,vowel_ratio,onset,pthn,freq,stress_overlap
55334jfdklgneroijnrpo3994493,SPA-CAT,142,Catalan,Spain,girafa,jirafa,1.616000175,0.466666666666666,0.416666666666666,different,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,143,Catalan,Spain,globus,globos,5.681999922,0.545454545454545,0.303030303030303,same_consonant,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,144,Catalan,Spain,gorra,gorra,1.450000048,0.5,0.375,same_consonant,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,145,Catalan,Spain,got,gota,2.410999775,0.419047619047619,0.0952380952380952,different,,,0
55334jfdklgneroijnrpo3994493,SPA-CAT,146,Catalan,Spain,guitarra,guitarra,2.097999811,0.5,0.416666666666666,same_consonant,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,147,Catalan,Spain,jaqueta,chaqueta,3.240999937,0.477777777777777,0.305555555555555,different,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,148,Catalan,Spain,lleo,hora,2.501000166,0.228571428571428,0.523809523809523,different,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,149,Catalan,Spain,llibre,libro,3.351999998,0.559999999999999,0.333333333333333,different,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,150,Catalan,Spain,lloro,loro,2.828000069,0.45,0.458333333333333,different,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,151,Catalan,Spain,lluna,luna,1.982000113,0.45,0.375,different,,,1
55334jfdklgneroijnrpo3994493,SPA-CAT,152,Catalan,Spain,ma,madre,6.098999977,0.333333333333333,0.333333333333333,same_consonant,,,1
