participant,trial_id,word,phonology,language_l1,test_language,accuracy,typing_onset,sim,lev,frequency_zipf
5e71e92d7c127310819224be,12,brazo,/ˈbɾa.θo/,English,Spanish,0,1.93200016,-1.53952554383813,1.01983932041776,-0.413558357802713
5e71e92d7c127310819224be,13,buho,/ˈbu.o/,English,Spanish,0,2.631999969,-0.32409613032177,0.203877836917833,-1.85808418364374
5e71e92d7c127310819224be,14,burro,/'bu.ro/,English,Spanish,0,5.097000122,-0.761650719187661,1.47881765488647,-1.19236792633987
5e71e92d7c127310819224be,15,caballo,/kaˈβa.ʎo/,English,Spanish,0.01,8.087999821,-0.202553188970135,0.905094736800587,-0.365438266206714
5e71e92d7c127310819224be,16,caja,/'ka.xa/,English,Spanish,0,5.197000027,-0.62795348370086,0.140130846019404,-0.104698255173358
5e71e92d7c127310819224be,17,calcetin,/kalθeˈtin/,English,Spanish,0.046875,3.082000017,-0.876564045556482,0.713853764105292,-1.77534044175711
5e71e92d7c127310819224be,18,camisa,/kaˈmi.sa/,English,Spanish,0,3.498999834,-1.33695397491874,1.03258871859745,-0.495263036693737
5e71e92d7c127310819224be,19,camiseta,/ka.mi'se.ta/,English,Spanish,0.03125,2.299000025,-0.749496425052498,0.426992305062348,-0.850024287667643
5e71e92d7c127310819224be,20,caracol,/ka.ɾaˈkol/,English,Spanish,0.078125,3.996999979,-0.584545290360993,0.440652374540581,-1.79680831118977
5e71e92d7c127310819224be,21,cebra,/ˈθe.bɾa/,English,Spanish,0.0123456790123457,0.413000107,-0.147306397446665,-0.0511101266758919,-1.91756162951679
5e71e92d7c127310819224be,22,cepillo,/θeˈpi.ʎo/,English,Spanish,0.0408163265306122,2.299000025,-1.53952554383813,0.650106773206858,-1.19236792633987
5e71e92d7c127310819224be,23,cerdo,/'θeɾ.ðo/,English,Spanish,0,4.813999891,-1.05335377843159,1.09633570949588,-0.559072312872818
5e71e92d7c127310819224be,24,cereza,/θeˈɾe.θa/,English,Spanish,0.0816326530612245,3.013999939,-0.810267895728318,0.140130846019404,-1.48744257743537
5e71e92d7c127310819224be,25,cesta,/'θes.ta/,English,Spanish,0,1.016000032,-0.150463356962292,0.823134319931173,-1.60397437686938
5e71e92d7c127310819224be,27,chocolate,/tʃ͡o.koˈla.te/,English,Spanish,0.111111111111111,0.286999941,1.39269791627009,-1.43760717871679,-0.487338902254548
5e71e92d7c127310819224be,28,cielo,/ˈθje.lo/,English,Spanish,0.04,2.132999897,-0.761650719187661,1.47881765488647,0.00691430162771288
5e71e92d7c127310819224be,29,coche,/ˈkot͡ʃe/,English,Spanish,0.12,2.332000017,0.261914479766477,-0.14673061302354,-0.0923656560115244
5e71e92d7c127310819224be,30,corona,/koˈɾo.na/,English,Spanish,0.166666666666667,1.162999868,0.09025480610426,-0.497339062964917,-1.0475130333315
5e71e92d7c127310819224be,31,cubo,/'ku.βo/,English,Spanish,0,4.447000027,-0.486153385457287,1.47881765488647,-1.26093810045368
5e71e92d7c127310819224be,32,cuchara,/kuˈt͡ʃa.ɾa/,English,Spanish,0,1.618000031,-0.876564045556482,1.35132367308961,-1.32230375796847
